context,state,selector,foreground,background,kind,ratio,required,result,how
(prefers-contrast: more),active,.btn-primary:active,#fff,#001e42,text,16.61,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
default,active,.btn-primary:active,#fff,#001e42,text,16.61,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),hover,.btn-secondary:hover,#002f65,#e0f0fa,text,11.3,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
default,hover,.btn-secondary:hover,#002f65,#e0f0fa,text,11.3,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),resting,.btn-danger,#fff,#c8102e,text,5.88,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.btn-danger,#fff,#c8102e,text,5.88,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),hover,.btn-danger:hover,#fff,#e01235,text,4.88,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
default,hover,.btn-danger:hover,#fff,#e01235,text,4.88,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),resting,.btn-disabled,#b0b7bb,#f4f8fc,text,1.9,4.5,FAIL,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.btn-disabled,#555555,#f4f8fc,boundary-advisory,6.99,3.0,PASS,same-rule
default,resting,.btn-disabled,#b0b7bb,#f4f8fc,text,1.9,4.5,FAIL,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.seg-btn,#455560,#ffffff,text,7.72,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.seg-btn,#455560,#ffffff,text,7.72,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.seg-btn.active,#fff,#002f65,text,13.17,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.seg-btn.active,#fff,#002f65,text,13.17,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,".badge-green,.b-ok",#1a5c35,#d4f0e3,text,6.62,4.5,PASS,same-rule; size unknown - assumed body
default,resting,".badge-green,.b-ok",#1a5c35,#d4f0e3,text,6.62,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,".badge-grey,.b-grey",#455560,#eef0f2,text,6.75,4.5,PASS,same-rule; size unknown - assumed body
default,resting,".badge-grey,.b-grey",#455560,#eef0f2,text,6.75,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,".badge-red,.b-red",#8b1a1a,#fde8e8,text,7.91,4.5,PASS,same-rule; size unknown - assumed body
default,resting,".badge-red,.b-red",#8b1a1a,#fde8e8,text,7.91,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,".badge-amber,.badge-yellow,.b-amber",#7a5200,#fff3cd,text,6.25,4.5,PASS,same-rule; size unknown - assumed body
default,resting,".badge-amber,.badge-yellow,.b-amber",#7a5200,#fff3cd,text,6.25,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.b-teal,#0a5c50,#d4f5f0,text,6.81,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.b-teal,#0a5c50,#d4f5f0,text,6.81,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.b-gold,#7a6000,#fff7cc,text,5.55,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.b-gold,#7a6000,#fff7cc,text,5.55,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.b-orange,#7a3a00,#ffe8d4,text,7.29,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.b-orange,#7a3a00,#ffe8d4,text,7.29,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.b-purple,#5b1a8b,#f0e8ff,text,9.0,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.b-purple,#5b1a8b,#f0e8ff,text,9.0,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.ph-sil,#333,#e8e8e8,text,10.31,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.ph-sil,#333,#e8e8e8,text,10.31,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.st-delivered_with_issue,#4a5d1f,#eaf3d8,text,6.37,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.st-delivered_with_issue,#4a5d1f,#eaf3d8,text,6.37,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.st-cancelled_late,#8b1a1a,#fde8e8,boundary-advisory,7.91,3.0,PASS,same-rule
default,resting,.st-cancelled_late,#8b1a1a,#fde8e8,boundary-advisory,7.91,3.0,PASS,same-rule
(prefers-contrast: more),resting,thead th,#455560,#f0f0f0,text,6.77,4.5,PASS,ancestor thead; size unknown - assumed body
default,resting,thead th,#455560,#f0f5fa,text,7.04,4.5,PASS,ancestor thead; size unknown - assumed body
(prefers-contrast: more),resting,.a-info,#003d88,#e0eeff,text,8.82,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.a-info,#003d88,#e0eeff,text,8.82,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.dash-sec-hero .dash-sec-hdr,#002f65,"rgba(0,47,101,.035)",text,1.0,4.5,FAIL,ancestor .dash-sec-hero; size unknown - assumed body
default,resting,.dash-sec-hero .dash-sec-hdr,#002f65,"rgba(0,47,101,.035)",text,1.0,4.5,FAIL,ancestor .dash-sec-hero; size unknown - assumed body
(prefers-contrast: more),resting,.dash-sec-hero .dash-sec-sub,#111111,"rgba(0,47,101,.035)",text,1.43,4.5,FAIL,ancestor .dash-sec-hero; size unknown - assumed body
default,resting,.dash-sec-hero .dash-sec-sub,#3a4a55,"rgba(0,47,101,.035)",text,1.44,4.5,FAIL,ancestor .dash-sec-hero; size unknown - assumed body
(prefers-contrast: more),resting,.chart-insight,#004b8d,#c8e6ff,text,6.78,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.chart-insight,#004b8d,#e0f0fa,text,7.53,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.hm-empty,#5f5f5f,#f0f0f0,text,5.6,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.hm-empty,#5f5f5f,#f0f0f0,text,5.6,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),hover,.cal-nbtn:hover,#51b0e3,#c8e6ff,boundary-advisory,1.87,3.0,FAIL,same-rule
default,hover,.cal-nbtn:hover,#51b0e3,#e0f0fa,boundary-advisory,2.08,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.cal-cell.parade,#51b0e3,#e6f3fc,boundary-advisory,2.14,3.0,FAIL,same-rule
default,resting,.cal-cell.parade,#51b0e3,#e6f3fc,boundary-advisory,2.14,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.cal-cell.other .cal-dt,#3a3a3a,#ffffff,text,11.37,4.5,PASS,ancestor .cal-cell.other; size unknown - assumed body
default,resting,.cal-cell.other .cal-dt,#6e7275,#f4f8fc,text,4.55,4.5,PASS,ancestor .cal-cell.other; size unknown - assumed body
(prefers-contrast: more),resting,.cal-cell.parade .cal-dt,#002f65,#e6f3fc,text,11.66,4.5,PASS,ancestor .cal-cell.parade; size unknown - assumed body
default,resting,.cal-cell.parade .cal-dt,#002f65,#e6f3fc,text,11.66,4.5,PASS,ancestor .cal-cell.parade; size unknown - assumed body
(prefers-contrast: more),resting,.cal-chip.delivered_with_issue,#101A26,#8a9a3a,text,5.65,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.cal-chip.delivered_with_issue,#101A26,#8a9a3a,text,5.65,4.5,PASS,same-rule; size unknown - assumed body
