category,literal,occurrences,distinct_files,first_location
color,#222,1,1,connected-frontend/index.html:193
color,#d0d0d0,1,1,connected-frontend/index.html:193
color,#000e26,1,1,connected-frontend/index.html:214
color,#fdeaea,1,1,connected-frontend/index.html:232
color,#7e8992,1,1,connected-frontend/index.html:298
color,#f0fbf4,1,1,connected-frontend/index.html:421
color,#eef6fc,1,1,connected-frontend/index.html:422
color,#c4e4f5,1,1,connected-frontend/index.html:455
color,#e01235,1,1,connected-frontend/index.html:488
color,#b00d25,1,1,connected-frontend/index.html:488
color,#d4f5f0,1,1,connected-frontend/index.html:523
color,#0a5c50,1,1,connected-frontend/index.html:523
color,#e8e8e8,1,1,connected-frontend/index.html:533
color,#333,1,1,connected-frontend/index.html:533
color,#eaf3d8,1,1,connected-frontend/index.html:537
color,#4a5d1f,1,1,connected-frontend/index.html:537
color,#f0f7fc,1,1,connected-frontend/index.html:556
color,#e0eeff,1,1,connected-frontend/index.html:589
color,#003d88,1,1,connected-frontend/index.html:589
color,#e4eaf0,1,1,connected-frontend/index.html:640
color,#5f5f5f,1,1,connected-frontend/index.html:655
color,#8a9a3a,1,1,connected-frontend/index.html:689
color,#fff5f5,1,1,connected-frontend/index.html:719
color,#f8f9fa,1,1,connected-frontend/index.html:721
color,#fafbff,1,1,connected-frontend/index.html:934
color,#cce0ff,1,1,connected-frontend/index.html:940
color,#a8d5bc,1,1,connected-frontend/index.html:945
color,#f5b0b0,1,1,connected-frontend/index.html:946
color,#fffbe6,1,1,connected-frontend/index.html:960
color,#5a4200,1,1,connected-frontend/index.html:960
color,#f0c800,1,1,connected-frontend/index.html:960
color,#fef0f0,1,1,connected-frontend/index.html:961
color,#7a1010,1,1,connected-frontend/index.html:961
color,#e03,1,1,connected-frontend/index.html:961
color,#f8f0f0,1,1,connected-frontend/index.html:983
color,#b5002b,1,1,connected-frontend/index.html:983
color,#fdf2d8,1,1,connected-frontend/index.html:987
color,#7a4a00,1,1,connected-frontend/index.html:987
color,#b3122c,1,1,connected-frontend/index.html:996
color,#a06200,1,1,connected-frontend/index.html:1038
color,#e6edf5,1,1,connected-frontend/index.html:1054
color,#11202e,1,1,connected-frontend/index.html:1062
color,#9fd0f0,1,1,connected-frontend/index.html:1062
color,#ffd36b,1,1,connected-frontend/index.html:1063
color,#dbeaf5,1,1,connected-frontend/index.html:1095
color,#8593,1,1,connected-frontend/index.html:1877
color,#9662,1,1,connected-frontend/index.html:1881
color,#fffbeb,1,1,connected-frontend/index.html:2568
color,#f59e0b,1,1,connected-frontend/index.html:2568
color,#92400e,1,1,connected-frontend/index.html:2568
color,#0678a0,1,1,connected-frontend/index.html:2692
color,#8592,1,1,connected-frontend/index.html:4222
color,#c07000,1,1,connected-frontend/index.html:4615
color,#170,1,1,connected-frontend/index.html:5512
color,#fce4e4,1,1,connected-frontend/index.html:8912
color,#fff0f0,1,1,connected-frontend/index.html:11620
color,#eef5ff,1,1,connected-frontend/index.html:11620
color,#f5f0ff,1,1,connected-frontend/index.html:11620
color,#fff5ec,1,1,connected-frontend/index.html:11620
color,#f5f5f5,1,1,connected-frontend/index.html:11620
color,#faf7e8,1,1,connected-frontend/index.html:11620
color,#666,1,1,connected-frontend/index.html:11621
color,#b8860b,1,1,connected-frontend/index.html:11621
color,#c2ccd6,1,1,connected-frontend/index.html:15191
color,#f57c00,1,1,connected-frontend/index.html:15299
color,#8a93a6,1,1,connected-frontend/index.html:15300
color,#f5a,1,1,connected-frontend/index.html:16420
color,#fff7e8,1,1,connected-frontend/index.html:16456
color,#ddd060,1,1,connected-frontend/index.html:16456
color,#f1e8fd,1,1,connected-frontend/index.html:16851
color,#5b21b6,1,1,connected-frontend/index.html:16851
color,#eef1f4,1,1,connected-frontend/index.html:18217
color,#9aa5ad,1,1,connected-frontend/index.html:18217
color,#c4b5fd,1,1,connected-frontend/index.html:18536
color,#8b5cf6,1,1,connected-frontend/index.html:18552
color,#a78bfa,1,1,connected-frontend/index.html:18552
color,#f5f3ff,1,1,connected-frontend/index.html:18553
color,"rgba(0,47,101,.10)",1,1,connected-frontend/index.html:74
color,"rgba(0,47,101,.14)",1,1,connected-frontend/index.html:75
color,"rgba(81,176,227,.20)",1,1,connected-frontend/index.html:114
color,"rgba(81,176,227,.05)",1,1,connected-frontend/index.html:215
color,"rgba(0,47,101,.08)",1,1,connected-frontend/index.html:216
color,"rgba(0,0,0,.28)",1,1,connected-frontend/index.html:216
color,"rgba(0,47,101,.12)",1,1,connected-frontend/index.html:219
color,"rgba(255,255,255,.25)",1,1,connected-frontend/index.html:245
color,"rgba(255,255,255,.8)",1,1,connected-frontend/index.html:250
color,"rgba(255,255,255,.03)",1,1,connected-frontend/index.html:257
color,"rgba(255,255,255,.65)",1,1,connected-frontend/index.html:264
color,"rgba(0,0,0,.16)",1,1,connected-frontend/index.html:327
color,"rgba(0,47,101,.06)",1,1,connected-frontend/index.html:483
color,"rgba(100,0,20,.3)",1,1,connected-frontend/index.html:487
color,"rgba(150,0,30,.3)",1,1,connected-frontend/index.html:487
color,"rgba(0,47,101,.035)",1,1,connected-frontend/index.html:630
color,"rgba(81,176,227,.18)",1,1,connected-frontend/index.html:674
color,"rgba(255,255,255,.6)",1,1,connected-frontend/index.html:713
color,"rgba(0,0,0,.38)",1,1,connected-frontend/index.html:737
color,"rgba(255,255,255,.15)",1,1,connected-frontend/index.html:756
color,"rgba(255,255,255,.75)",1,1,connected-frontend/index.html:772
color,"rgba(0,0,0,.06)",1,1,connected-frontend/index.html:970
color,"rgba(0,0,0,.4)",1,1,connected-frontend/index.html:1068
color,"rgba(255,255,255,.3)",1,1,connected-frontend/index.html:1347
color,"rgba(0,30,60,.45)",1,1,connected-frontend/index.html:19359
color,"rgba(0,30,60,.28)",1,1,connected-frontend/index.html:19360
font-size,8pt,1,1,connected-frontend/index.html:134
font-size,7pt,1,1,connected-frontend/index.html:141
font-size,inherit,1,1,connected-frontend/index.html:468
font-size,7.5pt,1,1,connected-frontend/index.html:11442
spacing,8px,116,1,connected-frontend/index.html:141
spacing,6px,62,1,connected-frontend/index.html:223
spacing,10px,59,1,connected-frontend/index.html:95
spacing,12px,43,1,connected-frontend/index.html:283
spacing,4px,43,1,connected-frontend/index.html:327
spacing,"8px"">",28,1,connected-frontend/index.html:1911
spacing,0,24,1,connected-frontend/index.html:118
spacing,"10px"">",22,1,connected-frontend/index.html:1954
spacing,14px,20,1,connected-frontend/index.html:222
spacing,3px 8px,19,1,connected-frontend/index.html:423
spacing,16px,19,1,connected-frontend/index.html:441
spacing,3px,17,1,connected-frontend/index.html:285
spacing,5px,17,1,connected-frontend/index.html:302
spacing,2px,15,1,connected-frontend/index.html:344
spacing,"6px"">",15,1,connected-frontend/index.html:1451
spacing,4px 4px,15,1,connected-frontend/index.html:4600
spacing,4px 8px,14,1,connected-frontend/index.html:979
spacing,"8px""></div>",14,1,connected-frontend/index.html:1511
spacing,10px 12px,13,1,connected-frontend/index.html:224
spacing,2px 4px,12,1,connected-frontend/index.html:2137
spacing,2px 8px,10,1,connected-frontend/index.html:360
spacing,6px 8px,10,1,connected-frontend/index.html:798
spacing,"4px"">",10,1,connected-frontend/index.html:1346
spacing,20px,9,1,connected-frontend/index.html:214
spacing,7px,9,1,connected-frontend/index.html:442
spacing,7px 10px,9,1,connected-frontend/index.html:563
spacing,5px 8px,9,1,connected-frontend/index.html:975
spacing,"10px"">`+",9,1,connected-frontend/index.html:6242
spacing,10px 14px,8,1,connected-frontend/index.html:353
spacing,"0"">",8,1,connected-frontend/index.html:1910
spacing,4px 12px,7,1,connected-frontend/index.html:250
spacing,"12px"">",7,1,connected-frontend/index.html:2123
spacing,"6px""></div>",7,1,connected-frontend/index.html:3359
spacing,9px,6,1,connected-frontend/index.html:266
spacing,auto,6,1,connected-frontend/index.html:310
spacing,"12px""></div>",6,1,connected-frontend/index.html:1465
spacing,"18px"">",6,1,connected-frontend/index.html:2119
spacing,"4px""><span style=""display:inline-block",6,1,connected-frontend/index.html:8937
spacing,"8px 4px"">",6,1,connected-frontend/index.html:9371
spacing,9px 12px,5,1,connected-frontend/index.html:232
spacing,10px 16px,5,1,connected-frontend/index.html:480
spacing,18px,5,1,connected-frontend/index.html:568
spacing,6px 10px,5,1,connected-frontend/index.html:639
spacing,6px 0,5,1,connected-frontend/index.html:648
spacing,1px,5,1,connected-frontend/index.html:687
spacing,8px 10px,5,1,connected-frontend/index.html:989
spacing,4px 6px,5,1,connected-frontend/index.html:4601
spacing,"14px"">`+",5,1,connected-frontend/index.html:6270
spacing,2px 6px,4,1,connected-frontend/index.html:475
spacing,8px 12px,4,1,connected-frontend/index.html:908
spacing,5px 0,4,1,connected-frontend/index.html:991
spacing,3px 0,4,1,connected-frontend/index.html:10760
spacing,3px 4px,3,1,connected-frontend/index.html:135
spacing,0 0 12px,3,1,connected-frontend/index.html:322
spacing,6px 12px,3,1,connected-frontend/index.html:357
spacing,5px 12px,3,1,connected-frontend/index.html:496
spacing,1px 4px,3,1,connected-frontend/index.html:508
spacing,24px,3,1,connected-frontend/index.html:626
spacing,12px 16px,3,1,connected-frontend/index.html:707
spacing,4px 10px,3,1,connected-frontend/index.html:1045
spacing,12px 14px,3,1,connected-frontend/index.html:1046
spacing,2px 7px,3,1,connected-frontend/index.html:1109
spacing,0 0 10px,3,1,connected-frontend/index.html:1179
spacing,3px 6px,3,1,connected-frontend/index.html:1366
spacing,"auto""></span>",3,1,connected-frontend/index.html:1785
spacing,"14px"">",3,1,connected-frontend/index.html:2400
spacing,1px 0,3,1,connected-frontend/index.html:8980
spacing,4px 0,2,1,connected-frontend/index.html:234
spacing,0 12px,2,1,connected-frontend/index.html:302
spacing,0 0 14px,2,1,connected-frontend/index.html:321
spacing,22px,2,1,connected-frontend/index.html:412
spacing,9px 16px,2,1,connected-frontend/index.html:447
spacing,4px 9px,2,1,connected-frontend/index.html:461
spacing,9px 11px,2,1,connected-frontend/index.html:571
spacing,16px 20px,2,1,connected-frontend/index.html:739
spacing,1px 5px,2,1,connected-frontend/index.html:886
spacing,1px 7px,2,1,connected-frontend/index.html:993
spacing,14px 16px,2,1,connected-frontend/index.html:1002
spacing,10px 8px,2,1,connected-frontend/index.html:1073
spacing,8px 0,2,1,connected-frontend/index.html:1106
spacing,"0 0 12px"">",2,1,connected-frontend/index.html:2322
spacing,"12px""></p>",2,1,connected-frontend/index.html:2811
spacing,"8px 0 0"">leave the end date blank for an open-ended phase.</p>",2,1,connected-frontend/index.html:3197
spacing,"10px""></p>",2,1,connected-frontend/index.html:3198
spacing,16px 24px,2,1,connected-frontend/index.html:4193
spacing,4px 14px,2,1,connected-frontend/index.html:4640
spacing,"4px 0""><div style=""height:100%",2,1,connected-frontend/index.html:6371
spacing,"2px"">",2,1,connected-frontend/index.html:8089
spacing,5px 0 3px,2,1,connected-frontend/index.html:8796
spacing,"3px 0 3px 16px"" role=""img"" aria-label=""${esc(cls.display_name)",2,1,connected-frontend/index.html:8808
spacing,"10px"" role=""img"" aria-label=""${r.date",2,1,connected-frontend/index.html:9012
spacing,"2px 3px""><input type=""time"" value=""${b.start_time||''",2,1,connected-frontend/index.html:14955
spacing,"2px 3px""><input type=""time"" value=""${b.end_time||''",2,1,connected-frontend/index.html:14956
spacing,0!important,1,1,connected-frontend/index.html:126
