router_file,method,full_path,function,line
backend/app/routers/accounts.py,GET,/api/accounts,list_accounts,244
backend/app/routers/accounts.py,POST,/api/accounts,create_account,282
backend/app/routers/accounts.py,GET,/api/accounts/{uid},get_account,350
backend/app/routers/accounts.py,PATCH,/api/accounts/{uid},update_account,362
backend/app/routers/accounts.py,POST,/api/accounts/{uid}/reset-code,reset_code,401
backend/app/routers/accounts.py,POST,/api/accounts/{uid}/disable,disable_account,451
backend/app/routers/accounts.py,POST,/api/accounts/{uid}/reactivate,reactivate_account,471
backend/app/routers/accounts.py,POST,/api/accounts/{uid}/archive,archive_account,493
backend/app/routers/accounts.py,POST,/api/accounts/{uid}/restore,restore_account,521
backend/app/routers/accounts.py,POST,/api/accounts/batch-archive,batch_archive_accounts,550
backend/app/routers/accounts.py,POST,/api/accounts/{uid}/unlock,unlock_account,625
backend/app/routers/accounts.py,GET,/api/flights,list_flights,670
backend/app/routers/accounts.py,POST,/api/flights,create_flight,689
backend/app/routers/accounts.py,PATCH,/api/flights/{fid},update_flight,701
backend/app/routers/accounts.py,POST,/api/flights/{fid}/archive,archive_flight,718
backend/app/routers/auth.py,POST,/api/auth/lookup,lookup,44
backend/app/routers/auth.py,POST,/api/auth/login,login,90
backend/app/routers/auth.py,POST,/api/auth/logout,logout,160
backend/app/routers/auth.py,GET,/api/auth/me,me,168
backend/app/routers/auth.py,POST,/api/auth/refresh,refresh,178
backend/app/routers/auth.py,POST,/api/auth/change-code,change_code,199
backend/app/routers/auth.py,GET,/api/auth/organisations,list_organisations,241
backend/app/routers/dashboard.py,GET,/api/dashboard/charts,get_dashboard_charts,1793
backend/app/routers/dashboard.py,GET,/api/dashboard/charts/strategic,get_strategic_charts,1953
backend/app/routers/dashboard.py,GET,/api/dashboard/facilitator-schedule,get_facilitator_schedule,1999
backend/app/routers/dashboard.py,GET,/api/dashboard/command,get_command_dashboard,2103
backend/app/routers/export_import.py,GET,/api/export/{export_type}.csv,export_csv,33
backend/app/routers/export_import.py,GET,/api/export/{export_type}.xlsx,export_xlsx,45
backend/app/routers/export_import.py,GET,/api/export/{export_type}.pdf,export_pdf,59
backend/app/routers/export_import.py,POST,/api/program-imports/preview,program_import_preview,106
backend/app/routers/health.py,GET,/api/health,health,10
backend/app/routers/health.py,GET,/api/health/db,health_db,15
backend/app/routers/health.py,GET,/api/health/ready,ready,24
backend/app/routers/health.py,GET,/api/health/ui-config,ui_config,34
backend/app/routers/jobs.py,GET,/api/jobs/{job_id},get_job,35
backend/app/routers/jobs.py,POST,/api/jobs/export,submit_export_job,61
backend/app/routers/ops.py,GET,/api/reports/summary,rep_summary,55
backend/app/routers/ops.py,GET,/api/reports/readiness,rep_readiness,66
backend/app/routers/ops.py,GET,/api/reports/curriculum-coverage,rep_coverage,87
backend/app/routers/ops.py,GET,/api/reports/facilitator-load,rep_load,107
backend/app/routers/ops.py,GET,/api/reports/not-delivered,rep_nd,126
backend/app/routers/ops.py,GET,/api/reports/wing-overview,wing_overview,135
backend/app/routers/ops.py,GET,/api/reports/wing-cancellation-trend,wing_cancellation_trend,185
backend/app/routers/ops.py,GET,/api/reports/wing-not-delivered,wing_not_delivered,223
backend/app/routers/ops.py,GET,/api/reports/wing-phase-coverage,wing_phase_coverage,247
backend/app/routers/ops.py,GET,/api/reports/wing-capability,wing_capability,342
backend/app/routers/ops.py,GET,/api/reports/national-capability,national_capability,371
backend/app/routers/ops.py,GET,/api/reports/national-overview,national_overview,390
backend/app/routers/ops.py,GET,/api/action-items,list_actions,416
backend/app/routers/ops.py,POST,/api/action-items,add_action,424
backend/app/routers/ops.py,POST,/api/action-items/{aid}/close,close_action,438
backend/app/routers/ops.py,POST,/api/exceptions/run-checks,run_checks,452
backend/app/routers/ops.py,POST,/api/import/preview,import_preview,496
backend/app/routers/ops.py,POST,/api/import/commit,import_commit,512
backend/app/routers/ops.py,POST,/api/import/rollback,import_rollback,556
backend/app/routers/organisations.py,GET,/api/national/overview,national_overview,23
backend/app/routers/organisations.py,GET,/api/wings,list_wings,34
backend/app/routers/organisations.py,POST,/api/wings,create_wing,50
backend/app/routers/organisations.py,GET,/api/wings/{wing_id}/archive-impact,wing_archive_impact,80
backend/app/routers/organisations.py,POST,/api/wings/{wing_id}/archive,archive_wing,135
backend/app/routers/organisations.py,POST,/api/wings/{wing_id}/restore,restore_wing,163
backend/app/routers/organisations.py,GET,/api/squadrons,list_squadrons,181
backend/app/routers/organisations.py,POST,/api/squadrons,create_squadron,208
backend/app/routers/organisations.py,GET,/api/squadrons/{squadron_id}/archive-impact,squadron_archive_impact,253
backend/app/routers/organisations.py,POST,/api/squadrons/{squadron_id}/archive,archive_squadron,335
