context,file,selector,fg,bg,px,weight,large,required,ratio,result,how,size_known
dark,components.css,.badge.red,#ff6b6b,#0f1c30,13.0,400,False,4.5,6.16,PASS,assumed --surface,no
dark,components.css,.badge.red,#ff6b6b,#081426,13.0,400,False,4.5,6.65,PASS,assumed --background,no
hc,components.css,.badge.red,#cc0011,#ffffff,13.0,400,False,4.5,5.87,PASS,assumed --surface,no
hc,components.css,.badge.red,#cc0011,#ffffff,13.0,400,False,4.5,5.87,PASS,assumed --background,no
contrast-more,components.css,.badge.red,#e51937,#ffffff,13.0,400,False,4.5,4.64,PASS,assumed --surface,no
contrast-more,components.css,.badge.red,#e51937,#ffffff,13.0,400,False,4.5,4.64,PASS,assumed --background,no
light,components.css,.badge.blue,#004b8d,#ffffff,13.0,400,False,4.5,8.78,PASS,assumed --surface,no
light,components.css,.badge.blue,#004b8d,#f4f8fc,13.0,400,False,4.5,8.23,PASS,assumed --background,no
dark,components.css,.badge.blue,#004b8d,#0f1c30,13.0,400,False,4.5,1.95,FAIL,assumed --surface,no
dark,components.css,.badge.blue,#004b8d,#081426,13.0,400,False,4.5,2.1,FAIL,assumed --background,no
hc,components.css,.badge.blue,#004b8d,#ffffff,13.0,400,False,4.5,8.78,PASS,assumed --surface,no
hc,components.css,.badge.blue,#004b8d,#ffffff,13.0,400,False,4.5,8.78,PASS,assumed --background,no
contrast-more,components.css,.badge.blue,#004b8d,#ffffff,13.0,400,False,4.5,8.78,PASS,assumed --surface,no
contrast-more,components.css,.badge.blue,#004b8d,#ffffff,13.0,400,False,4.5,8.78,PASS,assumed --background,no
light,components.css,.lh,#004b8d,#ffffff,13.0,700,False,4.5,8.78,PASS,assumed --surface,no
light,components.css,.lh,#004b8d,#f4f8fc,13.0,700,False,4.5,8.23,PASS,assumed --background,no
dark,components.css,.lh,#004b8d,#0f1c30,13.0,700,False,4.5,1.95,FAIL,assumed --surface,no
dark,components.css,.lh,#004b8d,#081426,13.0,700,False,4.5,2.1,FAIL,assumed --background,no
hc,components.css,.lh,#004b8d,#ffffff,13.0,700,False,4.5,8.78,PASS,assumed --surface,no
hc,components.css,.lh,#004b8d,#ffffff,13.0,700,False,4.5,8.78,PASS,assumed --background,no
contrast-more,components.css,.lh,#004b8d,#ffffff,13.0,700,False,4.5,8.78,PASS,assumed --surface,no
contrast-more,components.css,.lh,#004b8d,#ffffff,13.0,700,False,4.5,8.78,PASS,assumed --background,no
light,components.css,.empty,#657380,#ffffff,13.0,400,False,4.5,4.86,PASS,assumed --surface,no
light,components.css,.empty,#657380,#f4f8fc,13.0,400,False,4.5,4.56,PASS,assumed --background,no
dark,components.css,.empty,#9fb2c6,#0f1c30,13.0,400,False,4.5,7.86,PASS,assumed --surface,no
dark,components.css,.empty,#9fb2c6,#081426,13.0,400,False,4.5,8.48,PASS,assumed --background,no
hc,components.css,.empty,#303030,#ffffff,13.0,400,False,4.5,13.2,PASS,assumed --surface,no
hc,components.css,.empty,#303030,#ffffff,13.0,400,False,4.5,13.2,PASS,assumed --background,no
contrast-more,components.css,.empty,#3a3a3a,#ffffff,13.0,400,False,4.5,11.37,PASS,assumed --surface,no
contrast-more,components.css,.empty,#3a3a3a,#ffffff,13.0,400,False,4.5,11.37,PASS,assumed --background,no
light,components.css,".login-box input,.login-box select",#1e2d3d,#ffffff,13.0,400,False,4.5,14.02,PASS,same-rule,no
dark,components.css,".login-box input,.login-box select",#e7eef6,#0f1c30,13.0,400,False,4.5,14.61,PASS,same-rule,no
hc,components.css,".login-box input,.login-box select",#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,same-rule,no
contrast-more,components.css,".login-box input,.login-box select",#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,same-rule,no
light,components.css,.err,#e51937,#ffffff,12.0,700,False,4.5,4.64,PASS,assumed --surface,yes
light,components.css,.err,#e51937,#f4f8fc,12.0,700,False,4.5,4.35,FAIL,assumed --background,yes
dark,components.css,.err,#ff6b6b,#0f1c30,12.0,700,False,4.5,6.16,PASS,assumed --surface,yes
dark,components.css,.err,#ff6b6b,#081426,12.0,700,False,4.5,6.65,PASS,assumed --background,yes
hc,components.css,.err,#cc0011,#ffffff,12.0,700,False,4.5,5.87,PASS,assumed --surface,yes
hc,components.css,.err,#cc0011,#ffffff,12.0,700,False,4.5,5.87,PASS,assumed --background,yes
contrast-more,components.css,.err,#e51937,#ffffff,12.0,700,False,4.5,4.64,PASS,assumed --surface,yes
