context,file,selector,fg,bg,px,weight,large,required,ratio,result,how,size_known
hc,layout.css,.banner.proxy,#1d2733,#6a3800,13.0,400,False,4.5,1.57,FAIL,same-rule,no
contrast-more,layout.css,.banner.proxy,#1d2733,#6a3800,13.0,400,False,4.5,1.57,FAIL,same-rule,no
light,layout.css,.banner.intervention,#ffffff,#7c3aed,13.0,400,False,4.5,5.7,PASS,same-rule,no
dark,layout.css,.banner.intervention,#ffffff,#7c3aed,13.0,400,False,4.5,5.7,PASS,same-rule,no
hc,layout.css,.banner.intervention,#ffffff,#44007a,13.0,400,False,4.5,13.75,PASS,same-rule,no
contrast-more,layout.css,.banner.intervention,#ffffff,#7c3aed,13.0,400,False,4.5,5.7,PASS,same-rule,no
light,planning.css,.pw-ctx,#ffffff,#002f65,13.0,400,False,4.5,13.17,PASS,same-rule,no
dark,planning.css,.pw-ctx,#ffffff,#51b0e3,13.0,400,False,4.5,2.42,FAIL,same-rule,no
hc,planning.css,.pw-ctx,#ffffff,#000044,13.0,400,False,4.5,19.38,PASS,same-rule,no
contrast-more,planning.css,.pw-ctx,#ffffff,#002f65,13.0,400,False,4.5,13.17,PASS,same-rule,no
light,planning.css,.pw-section-hdr,#657380,#ffffff,11.0,800,False,4.5,4.86,PASS,assumed --surface,yes
light,planning.css,.pw-section-hdr,#657380,#f4f8fc,11.0,800,False,4.5,4.56,PASS,assumed --background,yes
dark,planning.css,.pw-section-hdr,#9fb2c6,#0f1c30,11.0,800,False,4.5,7.86,PASS,assumed --surface,yes
dark,planning.css,.pw-section-hdr,#9fb2c6,#081426,11.0,800,False,4.5,8.48,PASS,assumed --background,yes
hc,planning.css,.pw-section-hdr,#303030,#ffffff,11.0,800,False,4.5,13.2,PASS,assumed --surface,yes
hc,planning.css,.pw-section-hdr,#303030,#ffffff,11.0,800,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,planning.css,.pw-section-hdr,#3a3a3a,#ffffff,11.0,800,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-section-hdr,#3a3a3a,#ffffff,11.0,800,False,4.5,11.37,PASS,assumed --background,yes
light,planning.css,.pw-chip,#657380,#f4f8fc,11.0,600,False,4.5,4.56,PASS,same-rule,yes
dark,planning.css,.pw-chip,#9fb2c6,#081426,11.0,600,False,4.5,8.48,PASS,same-rule,yes
hc,planning.css,.pw-chip,#303030,#ffffff,11.0,600,False,4.5,13.2,PASS,same-rule,yes
contrast-more,planning.css,.pw-chip,#3a3a3a,#ffffff,11.0,600,False,4.5,11.37,PASS,same-rule,yes
light,planning.css,.pw-chip.on,#ffffff,#002f65,13.0,400,False,4.5,13.17,PASS,same-rule,no
dark,planning.css,.pw-chip.on,#ffffff,#51b0e3,13.0,400,False,4.5,2.42,FAIL,same-rule,no
hc,planning.css,.pw-chip.on,#ffffff,#000044,13.0,400,False,4.5,19.38,PASS,same-rule,no
contrast-more,planning.css,.pw-chip.on,#ffffff,#002f65,13.0,400,False,4.5,13.17,PASS,same-rule,no
light,planning.css,.pw-backlog-item,#1e2d3d,#ffffff,11.0,400,False,4.5,14.02,PASS,assumed --surface,yes
light,planning.css,.pw-backlog-item,#1e2d3d,#f4f8fc,11.0,400,False,4.5,13.14,PASS,assumed --background,yes
dark,planning.css,.pw-backlog-item,#e7eef6,#0f1c30,11.0,400,False,4.5,14.61,PASS,assumed --surface,yes
dark,planning.css,.pw-backlog-item,#e7eef6,#081426,11.0,400,False,4.5,15.78,PASS,assumed --background,yes
hc,planning.css,.pw-backlog-item,#000000,#ffffff,11.0,400,False,4.5,21.0,PASS,assumed --surface,yes
hc,planning.css,.pw-backlog-item,#000000,#ffffff,11.0,400,False,4.5,21.0,PASS,assumed --background,yes
contrast-more,planning.css,.pw-backlog-item,#000000,#ffffff,11.0,400,False,4.5,21.0,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-backlog-item,#000000,#ffffff,11.0,400,False,4.5,21.0,PASS,assumed --background,yes
light,planning.css,.pw-backlog-code,#657380,#ffffff,11.0,700,False,4.5,4.86,PASS,assumed --surface,yes
light,planning.css,.pw-backlog-code,#657380,#f4f8fc,11.0,700,False,4.5,4.56,PASS,assumed --background,yes
dark,planning.css,.pw-backlog-code,#9fb2c6,#0f1c30,11.0,700,False,4.5,7.86,PASS,assumed --surface,yes
dark,planning.css,.pw-backlog-code,#9fb2c6,#081426,11.0,700,False,4.5,8.48,PASS,assumed --background,yes
hc,planning.css,.pw-backlog-code,#303030,#ffffff,11.0,700,False,4.5,13.2,PASS,assumed --surface,yes
hc,planning.css,.pw-backlog-code,#303030,#ffffff,11.0,700,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,planning.css,.pw-backlog-code,#3a3a3a,#ffffff,11.0,700,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-backlog-code,#3a3a3a,#ffffff,11.0,700,False,4.5,11.37,PASS,assumed --background,yes
light,planning.css,.pw-term-hdr,#002f65,#ffffff,13.0,800,False,4.5,13.17,PASS,assumed --surface,yes
light,planning.css,.pw-term-hdr,#002f65,#f4f8fc,13.0,800,False,4.5,12.34,PASS,assumed --background,yes
dark,planning.css,.pw-term-hdr,#51b0e3,#0f1c30,13.0,800,False,4.5,7.05,PASS,assumed --surface,yes
dark,planning.css,.pw-term-hdr,#51b0e3,#081426,13.0,800,False,4.5,7.62,PASS,assumed --background,yes
hc,planning.css,.pw-term-hdr,#000044,#ffffff,13.0,800,False,4.5,19.38,PASS,assumed --surface,yes
hc,planning.css,.pw-term-hdr,#000044,#ffffff,13.0,800,False,4.5,19.38,PASS,assumed --background,yes
contrast-more,planning.css,.pw-term-hdr,#002f65,#ffffff,13.0,800,False,4.5,13.17,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-term-hdr,#002f65,#ffffff,13.0,800,False,4.5,13.17,PASS,assumed --background,yes
light,planning.css,.pw-date-label,#1e2d3d,#ffffff,12.0,800,False,4.5,14.02,PASS,assumed --surface,yes
light,planning.css,.pw-date-label,#1e2d3d,#f4f8fc,12.0,800,False,4.5,13.14,PASS,assumed --background,yes
dark,planning.css,.pw-date-label,#e7eef6,#0f1c30,12.0,800,False,4.5,14.61,PASS,assumed --surface,yes
dark,planning.css,.pw-date-label,#e7eef6,#081426,12.0,800,False,4.5,15.78,PASS,assumed --background,yes
hc,planning.css,.pw-date-label,#000000,#ffffff,12.0,800,False,4.5,21.0,PASS,assumed --surface,yes
hc,planning.css,.pw-date-label,#000000,#ffffff,12.0,800,False,4.5,21.0,PASS,assumed --background,yes
contrast-more,planning.css,.pw-date-label,#000000,#ffffff,12.0,800,False,4.5,21.0,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-date-label,#000000,#ffffff,12.0,800,False,4.5,21.0,PASS,assumed --background,yes
light,planning.css,.pw-date-type,#657380,#ffffff,10.0,400,False,4.5,4.86,PASS,assumed --surface,yes
light,planning.css,.pw-date-type,#657380,#f4f8fc,10.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,planning.css,.pw-date-type,#9fb2c6,#0f1c30,10.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,planning.css,.pw-date-type,#9fb2c6,#081426,10.0,400,False,4.5,8.48,PASS,assumed --background,yes
hc,planning.css,.pw-date-type,#303030,#ffffff,10.0,400,False,4.5,13.2,PASS,assumed --surface,yes
hc,planning.css,.pw-date-type,#303030,#ffffff,10.0,400,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,planning.css,.pw-date-type,#3a3a3a,#ffffff,10.0,400,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-date-type,#3a3a3a,#ffffff,10.0,400,False,4.5,11.37,PASS,assumed --background,yes
light,planning.css,.pw-anchor-pill.must_attend,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
dark,planning.css,.pw-anchor-pill.must_attend,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
hc,planning.css,.pw-anchor-pill.must_attend,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
contrast-more,planning.css,.pw-anchor-pill.must_attend,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
light,planning.css,.pw-anchor-pill.key_event,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,no
dark,planning.css,.pw-anchor-pill.key_event,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,no
hc,planning.css,.pw-anchor-pill.key_event,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,no
contrast-more,planning.css,.pw-anchor-pill.key_event,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,no
light,planning.css,.pw-anchor-pill.optional,#657380,#f4f8fc,13.0,400,False,4.5,4.56,PASS,same-rule,no
dark,planning.css,.pw-anchor-pill.optional,#9fb2c6,#081426,13.0,400,False,4.5,8.48,PASS,same-rule,no
hc,planning.css,.pw-anchor-pill.optional,#303030,#ffffff,13.0,400,False,4.5,13.2,PASS,same-rule,no
contrast-more,planning.css,.pw-anchor-pill.optional,#3a3a3a,#ffffff,13.0,400,False,4.5,11.37,PASS,same-rule,no
light,planning.css,.pw-anchor-pill.wing,#004b8d,#ebf5ff,13.0,400,False,4.5,7.96,PASS,same-rule,no
dark,planning.css,.pw-anchor-pill.wing,#004b8d,#ebf5ff,13.0,400,False,4.5,7.96,PASS,same-rule,no
hc,planning.css,.pw-anchor-pill.wing,#004b8d,#ebf5ff,13.0,400,False,4.5,7.96,PASS,same-rule,no
contrast-more,planning.css,.pw-anchor-pill.wing,#004b8d,#ebf5ff,13.0,400,False,4.5,7.96,PASS,same-rule,no
light,planning.css,.pw-week-term,#657380,#ffffff,11.0,400,False,4.5,4.86,PASS,assumed --surface,yes
light,planning.css,.pw-week-term,#657380,#f4f8fc,11.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,planning.css,.pw-week-term,#9fb2c6,#0f1c30,11.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,planning.css,.pw-week-term,#9fb2c6,#081426,11.0,400,False,4.5,8.48,PASS,assumed --background,yes
hc,planning.css,.pw-week-term,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --surface,yes
hc,planning.css,.pw-week-term,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,planning.css,.pw-week-term,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-week-term,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --background,yes
light,planning.css,.pw-sess-mini-period,#657380,#ffffff,10.0,700,False,4.5,4.86,PASS,assumed --surface,yes
light,planning.css,.pw-sess-mini-period,#657380,#f4f8fc,10.0,700,False,4.5,4.56,PASS,assumed --background,yes
dark,planning.css,.pw-sess-mini-period,#9fb2c6,#0f1c30,10.0,700,False,4.5,7.86,PASS,assumed --surface,yes
dark,planning.css,.pw-sess-mini-period,#9fb2c6,#081426,10.0,700,False,4.5,8.48,PASS,assumed --background,yes
hc,planning.css,.pw-sess-mini-period,#303030,#ffffff,10.0,700,False,4.5,13.2,PASS,assumed --surface,yes
hc,planning.css,.pw-sess-mini-period,#303030,#ffffff,10.0,700,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,planning.css,.pw-sess-mini-period,#3a3a3a,#ffffff,10.0,700,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-sess-mini-period,#3a3a3a,#ffffff,10.0,700,False,4.5,11.37,PASS,assumed --background,yes
light,planning.css,.pw-sess-mini-fac,#657380,#ffffff,10.0,400,False,4.5,4.86,PASS,assumed --surface,yes
light,planning.css,.pw-sess-mini-fac,#657380,#f4f8fc,10.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,planning.css,.pw-sess-mini-fac,#9fb2c6,#0f1c30,10.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,planning.css,.pw-sess-mini-fac,#9fb2c6,#081426,10.0,400,False,4.5,8.48,PASS,assumed --background,yes
hc,planning.css,.pw-sess-mini-fac,#303030,#ffffff,10.0,400,False,4.5,13.2,PASS,assumed --surface,yes
hc,planning.css,.pw-sess-mini-fac,#303030,#ffffff,10.0,400,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,planning.css,.pw-sess-mini-fac,#3a3a3a,#ffffff,10.0,400,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-sess-mini-fac,#3a3a3a,#ffffff,10.0,400,False,4.5,11.37,PASS,assumed --background,yes
light,planning.css,.pw-conflict-badge.room,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
dark,planning.css,.pw-conflict-badge.room,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
hc,planning.css,.pw-conflict-badge.room,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
contrast-more,planning.css,.pw-conflict-badge.room,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
light,planning.css,.pw-conflict-badge.fac,#7a3a00,#fff3e0,13.0,400,False,4.5,7.87,PASS,same-rule,no
dark,planning.css,.pw-conflict-badge.fac,#7a3a00,#fff3e0,13.0,400,False,4.5,7.87,PASS,same-rule,no
hc,planning.css,.pw-conflict-badge.fac,#7a3a00,#fff3e0,13.0,400,False,4.5,7.87,PASS,same-rule,no
contrast-more,planning.css,.pw-conflict-badge.fac,#7a3a00,#fff3e0,13.0,400,False,4.5,7.87,PASS,same-rule,no
light,planning.css,.pw-conflict-badge.load,#5a4000,#fff8e1,13.0,400,False,4.5,9.12,PASS,same-rule,no
dark,planning.css,.pw-conflict-badge.load,#5a4000,#fff8e1,13.0,400,False,4.5,9.12,PASS,same-rule,no
hc,planning.css,.pw-conflict-badge.load,#5a4000,#fff8e1,13.0,400,False,4.5,9.12,PASS,same-rule,no
contrast-more,planning.css,.pw-conflict-badge.load,#5a4000,#fff8e1,13.0,400,False,4.5,9.12,PASS,same-rule,no
light,planning.css,.pn-grid thead th,#ffffff,#002f65,11.0,700,False,4.5,13.17,PASS,same-rule,yes
dark,planning.css,.pn-grid thead th,#ffffff,#51b0e3,11.0,700,False,4.5,2.42,FAIL,same-rule,yes
hc,planning.css,.pn-grid thead th,#ffffff,#000044,11.0,700,False,4.5,19.38,PASS,same-rule,yes
contrast-more,planning.css,.pn-grid thead th,#ffffff,#002f65,11.0,700,False,4.5,13.17,PASS,same-rule,yes
light,planning.css,.pn-cell-inner.break-cell,#657380,#f5f5f5,13.0,400,False,4.5,4.46,FAIL,same-rule,no
dark,planning.css,.pn-cell-inner.break-cell,#9fb2c6,#f5f5f5,13.0,400,False,4.5,1.99,FAIL,same-rule,no
hc,planning.css,.pn-cell-inner.break-cell,#303030,#f5f5f5,13.0,400,False,4.5,12.11,PASS,same-rule,no
contrast-more,planning.css,.pn-cell-inner.break-cell,#3a3a3a,#f5f5f5,13.0,400,False,4.5,10.43,PASS,same-rule,no
light,planning.css,.pn-cell-code,#004b8d,#ffffff,10.0,700,False,4.5,8.78,PASS,assumed --surface,yes
light,planning.css,.pn-cell-code,#004b8d,#f4f8fc,10.0,700,False,4.5,8.23,PASS,assumed --background,yes
dark,planning.css,.pn-cell-code,#004b8d,#0f1c30,10.0,700,False,4.5,1.95,FAIL,assumed --surface,yes
dark,planning.css,.pn-cell-code,#004b8d,#081426,10.0,700,False,4.5,2.1,FAIL,assumed --background,yes
hc,planning.css,.pn-cell-code,#004b8d,#ffffff,10.0,700,False,4.5,8.78,PASS,assumed --surface,yes
hc,planning.css,.pn-cell-code,#004b8d,#ffffff,10.0,700,False,4.5,8.78,PASS,assumed --background,yes
contrast-more,planning.css,.pn-cell-code,#004b8d,#ffffff,10.0,700,False,4.5,8.78,PASS,assumed --surface,yes
contrast-more,planning.css,.pn-cell-code,#004b8d,#ffffff,10.0,700,False,4.5,8.78,PASS,assumed --background,yes
light,planning.css,.pn-cell-room,#657380,#ffffff,10.0,400,False,4.5,4.86,PASS,assumed --surface,yes
light,planning.css,.pn-cell-room,#657380,#f4f8fc,10.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,planning.css,.pn-cell-room,#9fb2c6,#0f1c30,10.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,planning.css,.pn-cell-room,#9fb2c6,#081426,10.0,400,False,4.5,8.48,PASS,assumed --background,yes
hc,planning.css,.pn-cell-room,#303030,#ffffff,10.0,400,False,4.5,13.2,PASS,assumed --surface,yes
hc,planning.css,.pn-cell-room,#303030,#ffffff,10.0,400,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,planning.css,.pn-cell-room,#3a3a3a,#ffffff,10.0,400,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,planning.css,.pn-cell-room,#3a3a3a,#ffffff,10.0,400,False,4.5,11.37,PASS,assumed --background,yes
light,planning.css,.pn-cell-fac,#1e2d3d,#ffffff,10.0,400,False,4.5,14.02,PASS,assumed --surface,yes
light,planning.css,.pn-cell-fac,#1e2d3d,#f4f8fc,10.0,400,False,4.5,13.14,PASS,assumed --background,yes
dark,planning.css,.pn-cell-fac,#e7eef6,#0f1c30,10.0,400,False,4.5,14.61,PASS,assumed --surface,yes
dark,planning.css,.pn-cell-fac,#e7eef6,#081426,10.0,400,False,4.5,15.78,PASS,assumed --background,yes
hc,planning.css,.pn-cell-fac,#000000,#ffffff,10.0,400,False,4.5,21.0,PASS,assumed --surface,yes
hc,planning.css,.pn-cell-fac,#000000,#ffffff,10.0,400,False,4.5,21.0,PASS,assumed --background,yes
contrast-more,planning.css,.pn-cell-fac,#000000,#ffffff,10.0,400,False,4.5,21.0,PASS,assumed --surface,yes
contrast-more,planning.css,.pn-cell-fac,#000000,#ffffff,10.0,400,False,4.5,21.0,PASS,assumed --background,yes
light,planning.css,.pn-add-btn,#657380,#f4f8fc,11.0,400,False,4.5,4.56,PASS,same-rule,yes
dark,planning.css,.pn-add-btn,#9fb2c6,#081426,11.0,400,False,4.5,8.48,PASS,same-rule,yes
hc,planning.css,.pn-add-btn,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,same-rule,yes
contrast-more,planning.css,.pn-add-btn,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,same-rule,yes
light,planning.css,.pn-add-btn:hover,#002f65,#ebf5ff,13.0,400,False,4.5,11.94,PASS,same-rule,no
dark,planning.css,.pn-add-btn:hover,#51b0e3,#ebf5ff,13.0,400,False,4.5,2.2,FAIL,same-rule,no
hc,planning.css,.pn-add-btn:hover,#000044,#ebf5ff,13.0,400,False,4.5,17.57,PASS,same-rule,no
contrast-more,planning.css,.pn-add-btn:hover,#002f65,#ebf5ff,13.0,400,False,4.5,11.94,PASS,same-rule,no
light,planning.css,.pw-drawer-label,#657380,#ffffff,11.0,700,False,4.5,4.86,PASS,assumed --surface,yes
light,planning.css,.pw-drawer-label,#657380,#f4f8fc,11.0,700,False,4.5,4.56,PASS,assumed --background,yes
dark,planning.css,.pw-drawer-label,#9fb2c6,#0f1c30,11.0,700,False,4.5,7.86,PASS,assumed --surface,yes
dark,planning.css,.pw-drawer-label,#9fb2c6,#081426,11.0,700,False,4.5,8.48,PASS,assumed --background,yes
hc,planning.css,.pw-drawer-label,#303030,#ffffff,11.0,700,False,4.5,13.2,PASS,assumed --surface,yes
hc,planning.css,.pw-drawer-label,#303030,#ffffff,11.0,700,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,planning.css,.pw-drawer-label,#3a3a3a,#ffffff,11.0,700,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-drawer-label,#3a3a3a,#ffffff,11.0,700,False,4.5,11.37,PASS,assumed --background,yes
light,planning.css,.pw-drawer-value,#1e2d3d,#ffffff,13.0,400,False,4.5,14.02,PASS,assumed --surface,yes
light,planning.css,.pw-drawer-value,#1e2d3d,#f4f8fc,13.0,400,False,4.5,13.14,PASS,assumed --background,yes
dark,planning.css,.pw-drawer-value,#e7eef6,#0f1c30,13.0,400,False,4.5,14.61,PASS,assumed --surface,yes
dark,planning.css,.pw-drawer-value,#e7eef6,#081426,13.0,400,False,4.5,15.78,PASS,assumed --background,yes
hc,planning.css,.pw-drawer-value,#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,assumed --surface,yes
hc,planning.css,.pw-drawer-value,#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,assumed --background,yes
contrast-more,planning.css,.pw-drawer-value,#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-drawer-value,#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,assumed --background,yes
light,planning.css,".pw-drawer-form input, .pw-drawer-form select, .pw-drawer-fo",#1e2d3d,#ffffff,12.0,400,False,4.5,14.02,PASS,same-rule,yes
dark,planning.css,".pw-drawer-form input, .pw-drawer-form select, .pw-drawer-fo",#e7eef6,#0f1c30,12.0,400,False,4.5,14.61,PASS,same-rule,yes
hc,planning.css,".pw-drawer-form input, .pw-drawer-form select, .pw-drawer-fo",#000000,#ffffff,12.0,400,False,4.5,21.0,PASS,same-rule,yes
contrast-more,planning.css,".pw-drawer-form input, .pw-drawer-form select, .pw-drawer-fo",#000000,#ffffff,12.0,400,False,4.5,21.0,PASS,same-rule,yes
light,planning.css,.pw-conflict-alert.err,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
dark,planning.css,.pw-conflict-alert.err,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
hc,planning.css,.pw-conflict-alert.err,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
contrast-more,planning.css,.pw-conflict-alert.err,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,no
light,planning.css,.pw-conflict-alert.warn,#7a3a00,#fff3e0,13.0,400,False,4.5,7.87,PASS,same-rule,no
dark,planning.css,.pw-conflict-alert.warn,#7a3a00,#fff3e0,13.0,400,False,4.5,7.87,PASS,same-rule,no
hc,planning.css,.pw-conflict-alert.warn,#7a3a00,#fff3e0,13.0,400,False,4.5,7.87,PASS,same-rule,no
contrast-more,planning.css,.pw-conflict-alert.warn,#7a3a00,#fff3e0,13.0,400,False,4.5,7.87,PASS,same-rule,no
light,planning.css,.pw-conflict-alert.soft,#5a4000,#fff8e1,13.0,400,False,4.5,9.12,PASS,same-rule,no
dark,planning.css,.pw-conflict-alert.soft,#5a4000,#fff8e1,13.0,400,False,4.5,9.12,PASS,same-rule,no
hc,planning.css,.pw-conflict-alert.soft,#5a4000,#fff8e1,13.0,400,False,4.5,9.12,PASS,same-rule,no
contrast-more,planning.css,.pw-conflict-alert.soft,#5a4000,#fff8e1,13.0,400,False,4.5,9.12,PASS,same-rule,no
light,planning.css,.pw-badge-wing,#004b8d,#ebf5ff,13.0,400,False,4.5,7.96,PASS,same-rule,no
dark,planning.css,.pw-badge-wing,#004b8d,#ebf5ff,13.0,400,False,4.5,7.96,PASS,same-rule,no
hc,planning.css,.pw-badge-wing,#004b8d,#ebf5ff,13.0,400,False,4.5,7.96,PASS,same-rule,no
contrast-more,planning.css,.pw-badge-wing,#004b8d,#ebf5ff,13.0,400,False,4.5,7.96,PASS,same-rule,no
light,planning.css,.pw-badge-sqn,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,no
dark,planning.css,.pw-badge-sqn,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,no
hc,planning.css,.pw-badge-sqn,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,no
contrast-more,planning.css,.pw-badge-sqn,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,no
light,planning.css,.pw-badge-national,#4a1080,#f2ebfe,13.0,400,False,4.5,10.79,PASS,same-rule,no
dark,planning.css,.pw-badge-national,#4a1080,#f2ebfe,13.0,400,False,4.5,10.79,PASS,same-rule,no
hc,planning.css,.pw-badge-national,#4a1080,#f2ebfe,13.0,400,False,4.5,10.79,PASS,same-rule,no
contrast-more,planning.css,.pw-badge-national,#4a1080,#f2ebfe,13.0,400,False,4.5,10.79,PASS,same-rule,no
light,planning.css,.pw-btab:hover,#1e2d3d,#ffffff,13.0,400,False,4.5,14.02,PASS,assumed --surface,no
light,planning.css,.pw-btab:hover,#1e2d3d,#f4f8fc,13.0,400,False,4.5,13.14,PASS,assumed --background,no
dark,planning.css,.pw-btab:hover,#e7eef6,#0f1c30,13.0,400,False,4.5,14.61,PASS,assumed --surface,no
dark,planning.css,.pw-btab:hover,#e7eef6,#081426,13.0,400,False,4.5,15.78,PASS,assumed --background,no
hc,planning.css,.pw-btab:hover,#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,assumed --surface,no
hc,planning.css,.pw-btab:hover,#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,assumed --background,no
contrast-more,planning.css,.pw-btab:hover,#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,assumed --surface,no
contrast-more,planning.css,.pw-btab:hover,#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,assumed --background,no
light,planning.css,.pw-btab.active,#002f65,#ffffff,13.0,400,False,4.5,13.17,PASS,assumed --surface,no
light,planning.css,.pw-btab.active,#002f65,#f4f8fc,13.0,400,False,4.5,12.34,PASS,assumed --background,no
dark,planning.css,.pw-btab.active,#51b0e3,#0f1c30,13.0,400,False,4.5,7.05,PASS,assumed --surface,no
dark,planning.css,.pw-btab.active,#51b0e3,#081426,13.0,400,False,4.5,7.62,PASS,assumed --background,no
hc,planning.css,.pw-btab.active,#000044,#ffffff,13.0,400,False,4.5,19.38,PASS,assumed --surface,no
hc,planning.css,.pw-btab.active,#000044,#ffffff,13.0,400,False,4.5,19.38,PASS,assumed --background,no
contrast-more,planning.css,.pw-btab.active,#002f65,#ffffff,13.0,400,False,4.5,13.17,PASS,assumed --surface,no
contrast-more,planning.css,.pw-btab.active,#002f65,#ffffff,13.0,400,False,4.5,13.17,PASS,assumed --background,no
light,planning.css,.pw-backlog-card-code,#004b8d,#ffffff,11.0,700,False,4.5,8.78,PASS,assumed --surface,yes
light,planning.css,.pw-backlog-card-code,#004b8d,#f4f8fc,11.0,700,False,4.5,8.23,PASS,assumed --background,yes
dark,planning.css,.pw-backlog-card-code,#004b8d,#0f1c30,11.0,700,False,4.5,1.95,FAIL,assumed --surface,yes
dark,planning.css,.pw-backlog-card-code,#004b8d,#081426,11.0,700,False,4.5,2.1,FAIL,assumed --background,yes
hc,planning.css,.pw-backlog-card-code,#004b8d,#ffffff,11.0,700,False,4.5,8.78,PASS,assumed --surface,yes
hc,planning.css,.pw-backlog-card-code,#004b8d,#ffffff,11.0,700,False,4.5,8.78,PASS,assumed --background,yes
contrast-more,planning.css,.pw-backlog-card-code,#004b8d,#ffffff,11.0,700,False,4.5,8.78,PASS,assumed --surface,yes
contrast-more,planning.css,.pw-backlog-card-code,#004b8d,#ffffff,11.0,700,False,4.5,8.78,PASS,assumed --background,yes
light,planning.css,.pw-backlog-card-meta,#657380,#ffffff,11.0,400,False,4.5,4.86,PASS,assumed --surface,yes
light,planning.css,.pw-backlog-card-meta,#657380,#f4f8fc,11.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,planning.css,.pw-backlog-card-meta,#9fb2c6,#0f1c30,11.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,planning.css,.pw-backlog-card-meta,#9fb2c6,#081426,11.0,400,False,4.5,8.48,PASS,assumed --background,yes
