frontend,context,state,selector,foreground,background,kind,ratio,required,result,how
Planning WS,(prefers-contrast: more),resting,.hm-warn,#7a4a00,#fde9c8,text,6.29,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.hm-warn,#7a4a00,#fde9c8,text,6.29,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.hm-red,#7a1d16,#f7d0cc,text,7.37,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.hm-red,#7a1d16,#f7d0cc,text,7.37,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.hm-na,#3a3a3a,#f0f0f0,text,9.98,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.hm-na,#303030,#f0f0f0,text,11.58,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.fts-item.fts-ok,#004d24,#004d24,text,1.0,4.5,FAIL,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.fts-item.fts-ok,#004d24,#004d24,boundary-advisory,1.0,3.0,FAIL,same-rule
Planning WS,default,resting,.fts-item.fts-ok,#004d24,#004d24,text,1.0,4.5,FAIL,same-rule; size unknown - assumed body
Planning WS,default,resting,.fts-item.fts-ok,#004d24,#004d24,boundary-advisory,1.0,3.0,FAIL,same-rule
