frontend,context,state,selector,foreground,background,kind,ratio,required,result,how
Main TMS,default,resting,.sess-card.cancelled,#e51937,#fff5f5,boundary-advisory,4.34,3.0,PASS,same-rule
Main TMS,(prefers-contrast: more),resting,.sess-card.rescheduled,#6a3800,#fffbf0,boundary-advisory,9.32,3.0,PASS,same-rule
Main TMS,default,resting,.sess-card.rescheduled,#c97a00,#fffbf0,boundary-advisory,3.24,3.0,PASS,same-rule
Main TMS,(prefers-contrast: more),resting,.sess-card.not_delivered,#b0b7bb,#f8f9fa,boundary-advisory,1.93,3.0,FAIL,same-rule
Main TMS,default,resting,.sess-card.not_delivered,#b0b7bb,#f8f9fa,boundary-advisory,1.93,3.0,FAIL,same-rule
Main TMS,default,resting,"#sd-modal .ff-input,
#sd-modal .ff-select",#1e2d3d,#ffffff,text,14.02,4.5,PASS,same-rule; 12px body
Main TMS,default,resting,"#sd-modal .ff-input,
#sd-modal .ff-select",#d1dce8,#ffffff,boundary-advisory,1.39,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,#page-service-desk .sd-filter-bar button.active,#fff,#51b0e3,text,2.42,4.5,FAIL,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,#page-service-desk .sd-filter-bar button.active,#51b0e3,#51b0e3,boundary-advisory,1.0,3.0,FAIL,same-rule
Main TMS,default,resting,#page-service-desk .sd-filter-bar button.active,#fff,#51b0e3,text,2.42,4.5,FAIL,same-rule; size unknown - assumed body
Main TMS,default,resting,#page-service-desk .sd-filter-bar button.active,#51b0e3,#51b0e3,boundary-advisory,1.0,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,.badge-open,#004b8d,#e0f0fa,text,7.53,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.badge-in_progress,#7a4800,#fff3cd,text,6.88,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.badge-in_progress,#7a4800,#fff3cd,text,6.88,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.badge-resolved,#145f38,#d4f0e3,text,6.38,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.badge-resolved,#145f38,#d4f0e3,text,6.38,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.sd-unit-dropdown,#51b0e3,#ffffff,boundary-advisory,2.42,3.0,FAIL,same-rule
Main TMS,default,resting,.sd-unit-dropdown,#51b0e3,#ffffff,boundary-advisory,2.42,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),hover,.exp-item:hover,#51b0e3,#fafbff,boundary-advisory,2.34,3.0,FAIL,same-rule
Main TMS,default,hover,.exp-item:hover,#51b0e3,#fafbff,boundary-advisory,2.34,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,.lh-btn,#003399,#c8e6ff,text,8.39,4.5,PASS,same-rule; 11px body
Main TMS,(prefers-contrast: more),hover,.lh-btn:hover,#003399,#cce0ff,text,8.11,4.5,PASS,inherited-fg + same-rule bg; 11px body
Main TMS,default,hover,.lh-btn:hover,#004b8d,#cce0ff,text,6.56,4.5,PASS,inherited-fg + same-rule bg; 11px body
Main TMS,(prefers-contrast: more),resting,.res-chip.ok,#a8d5bc,#c0f0d8,boundary-advisory,1.29,3.0,FAIL,same-rule
Main TMS,default,resting,.res-chip.ok,#a8d5bc,#d4f0e3,boundary-advisory,1.35,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,.scope-banner.sb-national .sb-tag,#fff,#7c3aed,text,5.7,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.scope-banner.sb-national .sb-tag,#fff,#7c3aed,text,5.7,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.scope-banner.sb-wing .sb-tag,#fff,#004b8d,text,8.78,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.scope-banner.sb-wing .sb-tag,#fff,#004b8d,text,8.78,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.scope-banner.sb-auditor .sb-tag,#fff,#455560,text,7.72,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.scope-banner.sb-auditor .sb-tag,#fff,#455560,text,7.72,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.scope-banner.sb-system_admin .sb-tag,#fff,#1a1a2e,text,17.06,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.scope-banner.sb-system_admin .sb-tag,#fff,#1a1a2e,text,17.06,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.mode-banner,#5a4200,#fffbe6,text,9.12,4.5,PASS,same-rule; 11px body
Main TMS,default,resting,.mode-banner,#5a4200,#fffbe6,text,9.12,4.5,PASS,same-rule; 11px body
Main TMS,(prefers-contrast: more),resting,.mode-banner.intervention,#7a1010,#fef0f0,text,9.92,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.mode-banner.intervention,#7a1010,#fef0f0,text,9.92,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.data-conf-bar,#111111,#ffe090,text,14.67,4.5,PASS,same-rule; 11px body
Main TMS,(prefers-contrast: more),resting,.data-conf-bar,#6a3800,#ffe090,boundary-advisory,7.49,3.0,PASS,same-rule
Main TMS,default,resting,.data-conf-bar,#3a4a55,#fff3cd,text,8.27,4.5,PASS,same-rule; 11px body
Main TMS,default,resting,.data-conf-bar,#c97a00,#fff3cd,boundary-advisory,3.02,3.0,PASS,same-rule
Main TMS,(prefers-contrast: more),resting,.data-conf-bar .dcb-label,#7a5200,#ffe090,text,5.38,4.5,PASS,ancestor .data-conf-bar; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.data-conf-bar.ok,#004d24,#c0f0d8,boundary-advisory,8.0,3.0,PASS,same-rule
Main TMS,default,resting,.data-conf-bar.ok,#1a7f4b,#d4f0e3,boundary-advisory,4.15,3.0,PASS,same-rule
Main TMS,(prefers-contrast: more),resting,.data-conf-bar.ok .dcb-label,#003318,#c0f0d8,text,11.23,4.5,PASS,ancestor .data-conf-bar.ok; size unknown - assumed body
Main TMS,default,resting,.cm-cell-not_delivered,#455560,#f0f0f0,text,6.77,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.cm-cell-cancelled,#b5002b,#f8f0f0,text,6.24,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.cm-cell-cancelled,#b5002b,#f8f0f0,text,6.24,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.cm-cell-delivered_with_issue,#c97a00,#d4f0e3,text,2.77,4.5,FAIL,same-rule; size unknown - assumed body
Main TMS,default,resting,.cm-cell-delivered_with_issue,#c97a00,#d4f0e3,text,2.77,4.5,FAIL,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.fac-sugg-panel,#555555,#f0f0f0,boundary-advisory,6.54,3.0,PASS,same-rule
Main TMS,default,resting,.fac-sugg-panel,#d1dce8,#f0f5fa,boundary-advisory,1.27,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,.fac-sugg-pill.conflict,#cc0011,#fde8e8,text,5.0,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.fac-sugg-pill.conflict,#e51937,#fde8e8,text,3.95,4.5,FAIL,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.fac-sugg-pill.unavailable,#404040,#f0f0f0,text,9.1,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.fac-sugg-pill.unavailable,#5c6a76,#f0f0f0,text,4.88,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),hover,".wiz-curr-item:hover,.wiz-curr-item.sel",#002f65,#c8e6ff,text,10.17,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,(prefers-contrast: more),resting,.maint-banner.pending,#a06200,#c97a00,boundary-advisory,1.48,3.0,FAIL,same-rule
Main TMS,default,resting,.maint-banner.pending,#a06200,#c97a00,boundary-advisory,1.48,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,.debug-bar,#9fd0f0,#11202e,text,10.04,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.debug-bar,#9fd0f0,#11202e,text,10.04,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.debug-bar b,#fff,#11202e,text,16.54,4.5,PASS,ancestor .debug-bar; size unknown - assumed body
Main TMS,default,resting,.debug-bar b,#fff,#11202e,text,16.54,4.5,PASS,ancestor .debug-bar; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.debug-bar .warn,#ffd36b,#11202e,text,11.64,4.5,PASS,ancestor .debug-bar; size unknown - assumed body
Main TMS,default,resting,.debug-bar .warn,#ffd36b,#11202e,text,11.64,4.5,PASS,ancestor .debug-bar; size unknown - assumed body
Main TMS,default,resting,.sc-sqn-chip,#455560,#f4f8fc,text,7.23,4.5,PASS,same-rule; 11px body
Main TMS,(prefers-contrast: more),resting,.ht,#455560,#555555,text,1.04,4.5,FAIL,same-rule; 9px body
Main TMS,default,resting,.ht,#455560,#d1dce8,text,5.55,4.5,PASS,same-rule; 9px body
Main TMS,(prefers-contrast: more),resting,.ht::after,#fff,#1e2d3d,text,14.02,4.5,PASS,same-rule; 11px body
Main TMS,default,resting,.ht::after,#fff,#1e2d3d,text,14.02,4.5,PASS,same-rule; 11px body
Planning WS,(prefers-contrast: more),resting,.pw-ctx,#fff,#000044,text,19.38,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.pw-ctx,#fff,#000044,text,19.38,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.pw-chip,#3a3a3a,#ffffff,text,11.37,4.5,PASS,same-rule; 11px body
Planning WS,(prefers-contrast: more),resting,.pw-chip,#555555,#ffffff,boundary-advisory,7.46,3.0,PASS,same-rule
Planning WS,default,resting,.pw-chip,#303030,#ffffff,text,13.2,4.5,PASS,same-rule; 11px body
Planning WS,default,resting,.pw-chip,#555555,#ffffff,boundary-advisory,7.46,3.0,PASS,same-rule
Planning WS,(prefers-contrast: more),resting,.pw-chip.on,#000044,#000044,boundary-advisory,1.0,3.0,FAIL,same-rule
Planning WS,default,resting,.pw-chip.on,#000044,#000044,boundary-advisory,1.0,3.0,FAIL,same-rule
Planning WS,(prefers-contrast: more),hover,.pw-backlog-item:hover,#000000,#ffffff,text,21.0,4.5,PASS,inherited-fg + same-rule bg; 11px body
Planning WS,default,hover,.pw-backlog-item:hover,#000000,#ffffff,text,21.0,4.5,PASS,inherited-fg + same-rule bg; 11px body
